read-name,best-monomer,start-pos,end-pos,identity,second-best-monomer,second-best-monomer-identity,homo-best-monomer,homo-identity,homo-second-best-monomer,homo-second-best-monomer-identity,reliability
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,L_11_DXZ1*_doubled/1809_1977/R',77341,77512,87.5,G_6_DXZ1*_doubled/960_1129/R',75.84,L_11_DXZ1*_doubled/1809_1977/R',86.36,G_6_DXZ1*_doubled/960_1129/R',72.79,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,G_6_DXZ1*_doubled/960_1129/R',78208,78378,86.03,K_10_DXZ1*_doubled/1639_1808/R',76.37,G_6_DXZ1*_doubled/960_1129/R',91.13,K_10_DXZ1*_doubled/1639_1808/R',77.61,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,F_5_DXZ1*_doubled/789_959/R',78379,78539,72.78,K_10_DXZ1*_doubled/1639_1808/R',67.22,F_5_DXZ1*_doubled/789_959/R',77.27,K_10_DXZ1*_doubled/1639_1808/R',70.68,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,E_4_DXZ1*_doubled/621_788/R',78540,78682,68.0,J_9_DXZ1*_doubled/1471_1638/R',63.37,E_4_DXZ1*_doubled/621_788/R',74.6,J_9_DXZ1*_doubled/1471_1638/R',70.4,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,D_3_DXZ1*_doubled/451_620/R',78683,78839,68.85,H_7_DXZ1*_doubled/1130_1300/R',62.09,D_3_DXZ1*_doubled/451_620/R',68.94,A_0_DXZ1*_doubled/1978_2147/R',66.41,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,C_2_DXZ1*_doubled/280_450/R',78840,78988,67.61,H_7_DXZ1*_doubled/1130_1300/R',63.13,C_2_DXZ1*_doubled/280_450/R',72.58,A_0_DXZ1*_doubled/1978_2147/R',68.29,?
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,B_1_DXZ1*_doubled/94_279/R',78989,79170,73.13,G_6_DXZ1*_doubled/960_1129/R',67.02,B_1_DXZ1*_doubled/94_279/R',76.6,I_8_DXZ1*_doubled/1301_1470/R',70.8,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,A_0_DXZ1*_doubled/1978_2147/R',79171,79329,83.43,H_7_DXZ1*_doubled/1130_1300/R',73.45,A_0_DXZ1*_doubled/1978_2147/R',87.18,H_7_DXZ1*_doubled/1130_1300/R',72.31,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,G_6_DXZ1*_doubled/960_1129/R',80179,80344,89.66,L_11_DXZ1*_doubled/1809_1977/R',79.89,G_6_DXZ1*_doubled/960_1129/R',90.91,L_11_DXZ1*_doubled/1809_1977/R',77.95,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,J_9_DXZ1*_doubled/1471_1638/R',81736,81899,89.6,E_4_DXZ1*_doubled/621_788/R',79.31,J_9_DXZ1*_doubled/1471_1638/R',94.96,E_4_DXZ1*_doubled/621_788/R',80.31,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,L_11_DXZ1*_doubled/1809_1977/R',83451,83626,88.89,G_6_DXZ1*_doubled/960_1129/R',76.37,L_11_DXZ1*_doubled/1809_1977/R',92.06,G_6_DXZ1*_doubled/960_1129/R',75.97,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,D_3_DXZ1*_doubled/451_620/R',84818,84993,88.4,I_8_DXZ1*_doubled/1301_1470/R',73.08,D_3_DXZ1*_doubled/451_620/R',90.98,I_8_DXZ1*_doubled/1301_1470/R',74.47,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,L_11_DXZ1*_doubled/1809_1977/R',85511,85679,87.64,G_6_DXZ1*_doubled/960_1129/R',75.42,L_11_DXZ1*_doubled/1809_1977/R',87.9,I_8_DXZ1*_doubled/1301_1470/R',74.07,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,B_1_DXZ1*_doubled/94_279/R',87215,87398,88.66,G_6_DXZ1*_doubled/960_1129/R',71.73,B_1_DXZ1*_doubled/94_279/R',92.54,K_10_DXZ1*_doubled/1639_1808/R',74.45,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,F_5_DXZ1*_doubled/789_959/R',88586,88755,89.83,K_10_DXZ1*_doubled/1639_1808/R',79.78,F_5_DXZ1*_doubled/789_959/R',92.97,K_10_DXZ1*_doubled/1639_1808/R',82.71,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,L_11_DXZ1*_doubled/1809_1977/R',89632,89796,86.93,G_6_DXZ1*_doubled/960_1129/R',74.86,L_11_DXZ1*_doubled/1809_1977/R',87.9,G_6_DXZ1*_doubled/960_1129/R',76.56,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,F_5_DXZ1*_doubled/789_959/R',94760,94870,64.33,K_10_DXZ1*_doubled/1639_1808/R',57.89,F_5_DXZ1*_doubled/789_959/R',66.4,A_0_DXZ1*_doubled/1978_2147/R',63.56,?
